CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME_1,DUE_TIME_1,READY_TIME_2,DUE_TIME_2,READY_TIME_3,DUE_TIME_3,SERVICE_TIME
72,95,26,22,2,47,77,131,174,236,2
73,11,75,23,13,71,118,176,209,250,2
74,61,37,10,64,110,163,243,294,339,2
75,66,14,10,99,145,177,219,271,322,2
76,96,83,19,89,153,209,269,327,407,2
77,48,65,20,9,70,113,156,189,239,2
78,16,51,16,94,149,179,248,298,352,2
79,49,31,14,93,153,191,259,303,363,2
80,14,47,13,49,100,145,208,253,298,2
81,66,83,5,20,72,109,163,206,278,2
82,33,38,9,43,114,160,229,281,343,2
83,53,20,30,75,145,198,249,299,369,2
84,43,57,11,39,104,160,215,274,343,2
85,35,28,28,73,128,166,213,261,321,2
86,20,39,23,29,80,110,188,224,288,2
87,61,79,8,44,120,180,240,276,348,2
88,20,21,18,29,92,151,192,237,283,2
89,67,71,27,90,157,206,258,293,372,2
90,7,5,19,75,145,175,247,284,364,2
91,42,100,12,96,158,193,246,300,357,2
92,88,49,13,96,165,217,274,334,405,2
93,49,7,23,97,175,221,278,331,380,2
94,50,38,25,55,97,136,183,216,290,2
95,18,47,23,57,133,186,255,314,368,2
96,94,89,25,24,85,136,211,251,291,2
97,3,41,14,38,102,138,181,238,280,2
98,26,56,28,62,125,185,235,292,338,2
99,77,22,20,82,159,219,281,336,412,2
100,86,91,21,3,71,125,196,231,271,2
101,84,2,28,34,74,125,167,211,287,2
102,27,86,10,26,105,155,210,248,312,2
103,73,63,10,98,139,174,235,286,333,2
104,79,13,18,47,89,148,209,259,312,2
105,85,96,28,17,97,137,197,248,315,2
106,62,30,15,99,161,209,258,309,366,2
107,83,73,27,1,66,103,154,196,262,2
108,35,10,9,23,99,130,181,217,272,2
109,96,3,14,65,130,171,236,268,336,2
110,93,62,17,62,103,135,186,232,292,2
111,69,85,7,25,77,119,168,204,272,2
112,30,4,8,14,56,93,141,171,244,2
113,33,77,16,99,165,200,270,312,390,2
114,62,1,22,55,117,148,224,274,351,2
115,84,20,6,49,100,146,199,236,300,2
116,41,98,29,4,79,115,156,208,267,2
117,56,5,22,65,142,196,250,296,351,2
118,12,33,12,25,77,118,163,220,271,2
119,78,33,7,68,124,176,230,281,341,2
120,75,8,21,95,152,195,271,301,358,2
121,70,72,21,69,127,182,237,269,330,2
122,46,95,23,25,105,150,213,257,302,2
123,87,51,19,44,89,137,178,236,305,2
124,0,86,5,21,95,144,208,264,337,2
125,88,79,12,49,126,176,232,282,325,2
126,37,74,19,40,102,144,206,243,300,2
127,97,58,12,24,70,108,174,227,301,2
128,20,87,5,84,127,166,242,273,350,2
129,57,16,21,77,136,167,207,257,315,2
130,44,55,21,31,85,115,191,234,287,2
131,83,39,15,9,79,113,172,203,258,2
132,3,31,30,63,113,145,201,243,301,2
133,84,43,27,21,72,127,200,237,292,2
134,96,16,6,50,111,154,204,256,320,2
135,14,19,24,25,68,103,164,204,261,2
136,31,69,20,77,143,185,253,284,325,2
137,51,25,21,67,127,172,221,269,316,2
138,86,12,26,77,135,175,244,274,331,2
139,47,46,8,73,125,174,231,286,354,2
140,0,52,24,96,152,206,274,329,385,2
141,99,81,17,1,71,102,179,222,281,2
142,9,95,21,13,60,101,174,211,260,2
143,3,71,19,86,163,222,286,327,379,2
144,41,77,29,37,98,137,215,251,330,2
145,94,89,6,58,134,187,233,263,322,2
146,11,8,22,28,69,117,169,228,280,2
147,7,33,16,17,76,130,182,215,286,2
148,44,3,16,9,84,123,190,220,273,2
149,87,41,12,55,116,147,222,277,342,2
150,25,86,25,67,124,157,213,257,337,2
151,84,64,5,72,147,184,232,271,333,2
152,72,15,13,82,132,168,234,271,318,2
153,35,37,12,34,89,148,199,241,320,2
154,69,83,29,93,145,198,271,310,352,2
155,0,89,13,44,103,137,187,246,315,2
156,36,43,16,89,139,199,239,288,342,2
157,39,15,28,30,70,121,194,228,269,2
158,82,12,18,25,102,153,193,237,303,2
159,58,3,10,28,102,156,217,262,317,2
160,53,64,18,13,63,117,190,238,303,2
161,12,29,22,4,55,113,158,195,261,2
162,40,6,21,94,135,175,229,289,363,2
163,76,9,26,24,97,152,228,282,353,2
164,79,49,6,39,84,143,220,259,304,2
165,52,76,27,94,166,204,266,325,376,2
166,68,41,30,41,116,146,216,264,304,2
167,77,99,20,65,117,172,252,307,374,2
168,25,16,7,84,160,215,285,332,375,2
169,77,94,29,42,93,150,203,255,313,2
170,68,34,8,61,139,174,222,264,328,2
171,45,29,20,49,129,179,228,260,302,2
172,71,48,14,66,112,143,204,256,318,2
173,8,91,22,60,129,189,250,290,347,2
174,10,8,16,0,47,105,168,216,265,2
175,96,92,7,25,85,122,200,231,281,2
176,34,9,18,74,150,201,253,299,355,2
177,40,80,10,52,117,170,239,295,361,2
178,4,42,27,9,85,134,213,248,323,2
179,26,84,9,14,58,94,169,226,296,2
180,90,84,7,5,79,119,159,191,247,2
181,62,7,10,71,144,204,254,299,346,2
182,35,25,19,10,85,119,194,240,285,2
183,29,94,25,54,133,176,248,306,346,2
184,60,87,15,67,132,169,225,272,322,2
185,33,16,25,13,56,100,167,210,264,2
186,62,79,19,15,80,127,168,200,263,2
187,1,61,24,76,118,149,214,266,316,2
188,14,39,8,57,121,165,225,279,344,2
189,9,89,14,52,119,151,205,250,302,2
190,60,40,13,79,128,161,216,272,326,2
191,39,49,8,82,139,192,240,288,359,2
192,36,9,13,14,78,137,183,223,282,2
193,24,62,20,56,99,147,212,249,314,2
194,20,5,17,28,107,149,223,267,342,2
195,57,5,6,94,149,199,263,296,370,2
196,97,94,15,57,126,182,262,309,377,2
197,54,8,18,2,42,74,125,158,230,2
198,17,22,6,7,65,107,167,206,279,2
199,86,86,17,69,126,171,221,259,333,2
200,99,48,5,92,149,188,259,305,351,2
